i,tau_ampa,tau_nmda,tau_gaba,j,g,sampa,snmda,sgaba
0.1,4,40,5,1,1,0,0,0
0.1,4,42,5,1,1,0,0,0
0.1,4,44,5,1,1,0,0,0
0.1,4,46,5,1,1,0,0,0
0.1,4,48,5,1,1,0,0,0
0.1,4,50,5,1,1,0,0,0
0.1,4,52,5,1,1,0,0,0
0.1,4,54,5,1,1,0,0,0
0.1,4,56,5,1,1,0,0,0
0.1,4,58,5,1,1,0,0,0
0.1,4,60,5,1,1,0,0,0
0.1,4,62,5,1,1,0,0,0
0.1,4,64,5,1,1,0,0,0
0.1,4,66,5,1,1,0,0,0
0.1,4,68,5,1,1,0,0,0
0.1,4,70,5,1,1,0,0,0
0.1,4,72,5,1,1,0,0,0
0.1,4,74,5,1,1,0,0,0
0.1,4,76,5,1,1,0,0,0
0.1,4,78,5,1,1,0,0,0
0.1,4,80,5,1,1,0,0,0
0.1,4,82,5,1,1,0,0,0
0.1,4,84,5,1,1,0,0,0
0.1,4,86,5,1,1,0,0,0
0.1,4,88,5,1,1,0,0,0
0.1,4,90,5,1,1,0,0,0
0.1,4,92,5,1,1,0,0,0
0.1,4,94,5,1,1,0,0,0
0.1,4,96,5,1,1,0,0,0
0.1,4,98,5,1,1,0,0,0
0.1,4,100,5,1,1,0,0,0
0.1,4,102,5,1,1,0,0,0
0.1,4,104,5,1,1,0,0,0
0.1,4,106,5,1,1,0,0,0
0.1,4,108,5,1,1,0,0,0
0.1,4,110,5,1,1,0,0,0
0.1,4,112,5,1,1,0,0,0
0.1,4,114,5,1,1,0,0,0
0.1,4,116,5,1,1,0,0,0
0.1,4,118,5,1,1,0,0,0
0.1,4,120,5,1,1,0,0,0
0.1,4,122,5,1,1,0,0,0
0.1,4,124,5,1,1,0,0,0
0.1,4,126,5,1,1,0,0,0
0.1,4,128,5,1,1,0,0,0
0.1,4,130,5,1,1,0,0,0
0.1,4,132,5,1,1,0,0,0
0.1,4,134,5,1,1,0,0,0
0.1,4,136,5,1,1,0,0,0
0.1,4,138,5,1,1,0,0,0
0.1,4,140,5,1,1,0,0,0
0.1,4,142,5,1,1,0,0,0
0.1,4,144,5,1,1,0,0,0
0.1,4,146,5,1,1,0,0,0
0.1,4,148,5,1,1,0,0,0
0.1,4,150,5,1,1,0,0,0
0.1,4,152,5,1,1,0,0,0
0.1,4,154,5,1,1,0,0,0
0.1,4,156,5,1,1,0,0,0
0.1,4,158,5,1,1,0,0,0
0.1,4,160,5,1,1,0,0,0
0.1,4,162,5,1,1,0,0,0
0.1,4,164,5,1,1,0,0,0
0.1,4,166,5,1,1,0,0,0
0.1,4,168,5,1,1,0,0,0
0.1,4,170,5,1,1,0,0,0
0.1,4,172,5,1,1,0,0,0
0.1,4,174,5,1,1,0,0,0
0.1,4,176,5,1,1,0,0,0
0.1,4,178,5,1,1,0,0,0
0.1,4,180,5,1,1,0,0,0
0.1,4,182,5,1,1,0,0,0
0.1,4,184,5,1,1,0,0,0
0.1,4,186,5,1,1,0,0,0
0.1,4,188,5,1,1,0,0,0
0.1,4,190,5,1,1,0,0,0
0.1,4,192,5,1,1,0,0,0
0.1,4,194,5,1,1,0,0,0
0.1,4,196,5,1,1,0,0,0
0.1,4,198,5,1,1,0,0,0
0.1,4,200,5,1,1,0,0,0
0.1,4,202,5,1,1,0,0,0
0.1,4,204,5,1,1,0,0,0
0.1,4,206,5,1,1,0,0,0
0.1,4,208,5,1,1,0,0,0
0.1,4,210,5,1,1,0,0,0
0.1,4,212,5,1,1,0,0,0
0.1,4,214,5,1,1,0,0,0
0.1,4,216,5,1,1,0,0,0
0.1,4,218,5,1,1,0,0,0
0.1,4,220,5,1,1,0,0,0
0.1,4,222,5,1,1,0,0,0
0.1,4,224,5,1,1,0,0,0
0.1,4,226,5,1,1,0,0,0
0.1,4,228,5,1,1,0,0,0
0.1,4,230,5,1,1,0,0,0
0.1,4,232,5,1,1,0,0,0
0.1,4,234,5,1,1,0,0,0
0.1,4,236,5,1,1,0,0,0
0.1,4,238,5,1,1,0,0,0
0.1,4,240,5,1,1,0,0,0
0.1,4,242,5,1,1,0,0,0
0.1,4,244,5,1,1,0,0,0
0.1,4,246,5,1,1,0,0,0
0.1,4,248,5,1,1,0,0,0
0.1,4,250,5,1,1,0,0,0
0.1,4,252,5,1,1,0,0,0
0.1,4,254,5,1,1,0,0,0
0.1,4,256,5,1,1,0,0,0
0.1,4,258,5,1,1,0,0,0
0.1,4,260,5,1,1,0,0,0
0.1,4,262,5,1,1,0,0,0
0.1,4,264,5,1,1,0,0,0
0.1,4,266,5,1,1,0,0,0
0.1,4,268,5,1,1,0,0,0
0.1,4,270,5,1,1,0,0,0
0.1,4,272,5,1,1,0,0,0
0.1,4,274,5,1,1,0,0,0
0.1,4,276,5,1,1,0,0,0
0.1,4,278,5,1,1,0,0,0
0.1,4,280,5,1,1,0,0,0
0.1,4,282,5,1,1,0,0,0
0.1,4,284,5,1,1,0,0,0
0.1,4,286,5,1,1,0,0,0
0.1,4,288,5,1,1,0,0,0
0.1,4,290,5,1,1,0,0,0
0.1,4,292,5,1,1,0,0,0
0.1,4,294,5,1,1,0,0,0
0.1,4,296,5,1,1,0,0,0
0.1,4,298,5,1,1,0,0,0
0.1,4,300,5,1,1,0,0,0
0.1,4,302,5,1,1,0,0,0
0.1,4,304,5,1,1,0,0,0
0.1,4,306,5,1,1,0,0,0
0.1,4,308,5,1,1,0,0,0
0.1,4,310,5,1,1,0,0,0
0.1,4,312,5,1,1,0,0,0
0.1,4,314,5,1,1,0,0,0
0.1,4,316,5,1,1,0,0,0
0.1,4,318,5,1,1,0,0,0
0.1,4,320,5,1,1,0,0,0
0.1,4,322,5,1,1,0,0,0
0.1,4,324,5,1,1,0,0,0
0.1,4,326,5,1,1,0,0,0
0.1,4,328,5,1,1,0,0,0
0.1,4,330,5,1,1,0,0,0
0.1,4,332,5,1,1,0,0,0
0.1,4,334,5,1,1,0,0,0
0.1,4,336,5,1,1,0,0,0
0.1,4,338,5,1,1,0,0,0
0.1,4,340,5,1,1,0,0,0
0.1,4,342,5,1,1,0,0,0
0.1,4,344,5,1,1,0,0,0
0.1,4,346,5,1,1,0,0,0
0.1,4,348,5,1,1,0,0,0
0.1,4,350,5,1,1,0,0,0
0.1,4,352,5,1,1,0,0,0
0.1,4,354,5,1,1,0,0,0
0.1,4,356,5,1,1,0,0,0
0.1,4,358,5,1,1,0,0,0
0.1,4,360,5,1,1,0,0,0
0.1,4,362,5,1,1,0,0,0
0.1,4,364,5,1,1,0,0,0
0.1,4,366,5,1,1,0,0,0
0.1,4,368,5,1,1,0,0,0
0.1,4,370,5,1,1,0,0,0
0.1,4,372,5,1,1,0,0,0
0.1,4,374,5,1,1,0,0,0
0.1,4,376,5,1,1,0,0,0
0.1,4,378,5,1,1,0,0,0
0.1,4,380,5,1,1,0,0,0
0.1,4,382,5,1,1,0,0,0
0.1,4,384,5,1,1,0,0,0
0.1,4,386,5,1,1,0,0,0
0.1,4,388,5,1,1,0,0,0
0.1,4,390,5,1,1,0,0,0
0.1,4,392,5,1,1,0,0,0
0.1,4,394,5,1,1,0,0,0
0.1,4,396,5,1,1,0,0,0
0.1,4,398,5,1,1,0,0,0
0.1,4,400,5,1,1,0,0,0
0.1,4,402,5,1,1,0,0,0
0.1,4,404,5,1,1,0,0,0
0.1,4,406,5,1,1,0,0,0
0.1,4,408,5,1,1,0,0,0
0.1,4,410,5,1,1,0,0,0
0.1,4,412,5,1,1,0,0,0
0.1,4,414,5,1,1,0,0,0
0.1,4,416,5,1,1,0,0,0
0.1,4,418,5,1,1,0,0,0
0.1,4,420,5,1,1,0,0,0
0.1,4,422,5,1,1,0,0,0
0.1,4,424,5,1,1,0,0,0
0.1,4,426,5,1,1,0,0,0
0.1,4,428,5,1,1,0,0,0
0.1,4,430,5,1,1,0,0,0
0.1,4,432,5,1,1,0,0,0
0.1,4,434,5,1,1,0,0,0
0.1,4,436,5,1,1,0,0,0
0.1,4,438,5,1,1,0,0,0
0.1,4,440,5,1,1,0,0,0
0.1,4,442,5,1,1,0,0,0
0.1,4,444,5,1,1,0,0,0
0.1,4,446,5,1,1,0,0,0
0.1,4,448,5,1,1,0,0,0
0.1,4,450,5,1,1,0,0,0
0.1,4,452,5,1,1,0,0,0
0.1,4,454,5,1,1,0,0,0
0.1,4,456,5,1,1,0,0,0
0.1,4,458,5,1,1,0,0,0
0.1,4,460,5,1,1,0,0,0
0.1,4,462,5,1,1,0,0,0
0.1,4,464,5,1,1,0,0,0
0.1,4,466,5,1,1,0,0,0
0.1,4,468,5,1,1,0,0,0
0.1,4,470,5,1,1,0,0,0
0.1,4,472,5,1,1,0,0,0
0.1,4,474,5,1,1,0,0,0
0.1,4,476,5,1,1,0,0,0
0.1,4,478,5,1,1,0,0,0
0.1,4,480,5,1,1,0,0,0
0.1,4,482,5,1,1,0,0,0
0.1,4,484,5,1,1,0,0,0
0.1,4,486,5,1,1,0,0,0
0.1,4,488,5,1,1,0,0,0
0.1,4,490,5,1,1,0,0,0
0.1,4,492,5,1,1,0,0,0
0.1,4,494,5,1,1,0,0,0
0.1,4,496,5,1,1,0,0,0
0.1,4,498,5,1,1,0,0,0
0.1,4,500,5,1,1,0,0,0
0.1,4,502,5,1,1,0,0,0
0.1,4,504,5,1,1,0,0,0
0.1,4,506,5,1,1,0,0,0
0.1,4,508,5,1,1,0,0,0
0.1,4,510,5,1,1,0,0,0
0.1,4,512,5,1,1,0,0,0
0.1,4,514,5,1,1,0,0,0
0.1,4,516,5,1,1,0,0,0
0.1,4,518,5,1,1,0,0,0
0.1,4,520,5,1,1,0,0,0
0.1,4,522,5,1,1,0,0,0
0.1,4,524,5,1,1,0,0,0
0.1,4,526,5,1,1,0,0,0
0.1,4,528,5,1,1,0,0,0
0.1,4,530,5,1,1,0,0,0
0.1,4,532,5,1,1,0,0,0
0.1,4,534,5,1,1,0,0,0
0.1,4,536,5,1,1,0,0,0
0.1,4,538,5,1,1,0,0,0
0.1,4,540,5,1,1,0,0,0
0.1,4,542,5,1,1,0,0,0
0.1,4,544,5,1,1,0,0,0
0.1,4,546,5,1,1,0,0,0
0.1,4,548,5,1,1,0,0,0
0.1,4,550,5,1,1,0,0,0
0.1,4,552,5,1,1,0,0,0
0.1,4,554,5,1,1,0,0,0
0.1,4,556,5,1,1,0,0,0
0.1,4,558,5,1,1,0,0,0
0.1,4,560,5,1,1,0,0,0
0.1,4,562,5,1,1,0,0,0
0.1,4,564,5,1,1,0,0,0
0.1,4,566,5,1,1,0,0,0
0.1,4,568,5,1,1,0,0,0
0.1,4,570,5,1,1,0,0,0
0.1,4,572,5,1,1,0,0,0
0.1,4,574,5,1,1,0,0,0
0.1,4,576,5,1,1,0,0,0
0.1,4,578,5,1,1,0,0,0
0.1,4,580,5,1,1,0,0,0
0.1,4,582,5,1,1,0,0,0
0.1,4,584,5,1,1,0,0,0
0.1,4,586,5,1,1,0,0,0
0.1,4,588,5,1,1,0,0,0
0.1,4,590,5,1,1,0,0,0
0.1,4,592,5,1,1,0,0,0
0.1,4,594,5,1,1,0,0,0
0.1,4,596,5,1,1,0,0,0
0.1,4,598,5,1,1,0,0,0
0.1,4,600,5,1,1,0,0,0
0.1,4,602,5,1,1,0,0,0
0.1,4,604,5,1,1,0,0,0
0.1,4,606,5,1,1,0,0,0
0.1,4,608,5,1,1,0,0,0
0.1,4,610,5,1,1,0,0,0
